元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C49678	100nF(104) ±10% 50V	电容_贴片电容	0805	2	YAGEO 国巨	基础库
C46653	1nF (102) ±10% 50V	电容_贴片电容	0805	2	SAMSUNG 三星	基础库
C1588	1nF (102) ±10% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C21122	22nF (223) ±10% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1634	10pF (100) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1648	20pF (200) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1653	22pF (220) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1663	33pF (330) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C14663	100nF (104) ±10% 50V	电容_贴片电容	0603	2	YAGEO 国巨	基础库
C14858	100pF (101) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C15849	1uF (105) ±10% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C19666	4.7uF (475) ±10% 16V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C19702	10uF (106) ±10% 10V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C21120	220nF (224) ±10% 25V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C23630	2.2uF (225) ±10% 16V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C57112	10nF (103) ±10% 50V	电容_贴片电容	0603	2	FH 风华	基础库
C52923	1uF (105) ±10% 25V	电容_贴片电容	0402	2	SAMSUNG 三星	基础库
C1525	100nF (104) ±10% 16V	电容_贴片电容	0402	2	SAMSUNG 三星	基础库
C15195	10nF (103) ±10% 50V	电容_贴片电容	0402	2	SAMSUNG 三星	基础库
C13585	10uF (106) ±10% 50V	电容_贴片电容	1206	2	SAMSUNG 三星	基础库
C7171	10uF (106) ±10% 16V	电容_钽电容	3216	2	AVX	基础库
C16133	100uF (107) ±10% 6.3V	电容_钽电容	3528	2	AVX	基础库
C2145	MMBT5551  G1	三极管	SOT-23	3	CJ江苏长电 (授权代理)	基础库
C2150	SS8050	三极管	SOT-23	3	CJ江苏长电 (授权代理)	基础库
C8542	SS8550	三极管	SOT-23	3	CJ江苏长电 (授权代理)	基础库
C95872	1N4007 M7	二极管_通用二极管	SMA,DO-214AC	2	MDD	基础库
C22452	SS54	二极管	SMA,DO-214AC	2	LC 立创	基础库
C8598	B5819W  SL	二极管_肖特基二极管	SOD-123	2	CJ江苏长电 (授权代理)	基础库
C9808	LL4148	二极管_开关二极管	LL-34	2	先科ST	基础库
C2128	1N4148WS T4	二极管	SOD-323	2	CJ江苏长电 (授权代理)	基础库
C6186	AMS1117-3.3	LDO_低压差线性稳压	SOT-223	4	美国AMS	基础库
C6649	EL357N(B)(TA)-G	贴片光耦	SOP-4_P2.54	4	EVERLIGHT 台湾亿光	基础库
C8734	STM32F103C8T6	MCU	LQFP-48	48	ST 意法半导体	基础库
C7950	LM358DR2G	运放_通用运放	SOIC-8	8	ON 安森美	基础库
C2286	红灯	二极管_发光二极管	0603	2	KENTO	基础库
C72041	蓝灯	二极管_发光二极管	0603	2	EVERLIGHT 台湾亿光	基础库
C72043	绿灯	二极管_发光二极管	0603	2	EVERLIGHT 台湾亿光	基础库
C32346	32.768KHz ±20ppm 12.5pF	晶振_贴片无源晶振	SMD-3215	2	EPSON 爱普生	基础库
C115962	YSX530GA 8MHZ  20PF 10PPM	晶振_贴片无源晶振	SMD-5032_2P	2	YXC	基础库
C2146	S8050 (200-350)	三极管	SOT-23	3	CJ江苏长电 (授权代理)	基础库
C81598	1N4148W	二极管_开关二极管	SOD-123	2	ST 先科	基础库
C84256	红灯 贴片LED	二极管_发光二极管	0805	2	国星光电	基础库
C84635	SS34	二极管_肖特基二极管	SMA,DO-214AC	2	迪一	基础库
C7512	ULN2003ADR	大电流驱动	SOIC-16	16	TI 德州仪器	基础库
C9002	12MHZ 20PF 10PPM	晶振_贴片无源晶振	SMD-3225	4	LC 立创	基础库
C72038	黄灯	二极管_发光二极管	0603	2	EVERLIGHT 台湾亿光	基础库
C2297	翠绿	二极管_发光二极管	0805	2	KENTO	基础库
C2296	黄灯	二极管_发光二极管	0805	2	KENTO	基础库
C8963	SP3485EN-L/TR	RS-485/RS-422	SOIC-8	8	SIPEX	基础库
C6855	SP485EEN-L/TR	RS-485/RS-422	SOIC-8	8	SIPEX	基础库
C2480	SS14	二极管_肖特基二极管	SMA,DO-214AC	2	MDD	基础库
C78395	P6SMB6.8CA	二极管_TVS二极管	SMB,DO-214AA	2	Brightking 台湾君耀	基础库
C1015	100Ω ±25% 100MHz	贴片磁珠	0805	2	Sunlord 顺络	基础库
C8323	STM32F103RCT6	MCU	LQFP-64	64	ST 意法半导体	基础库
C58069	L78M05ABDT-TR	LDO_低压差线性稳压	TO-252-2	3	ST 意法半导体	基础库
C4109	2KΩ (2001) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C8545	2N7002	MOS_场效应管	SOT-23	3	CJ江苏长电 (授权代理)	基础库
C20917	AO3400A N道沟 X0YV1T SOT-23	MOS_场效应管	SOT-23-3L	3	AOS	基础库
C15127	AO3401A P道沟 X13A15 SOT-23	MOS_场效应管	SOT-23-3L	3	AOS	基础库
C29823	4.7uF (475) ±10% 50V	电容_贴片电容	1206	2	FH 风华	基础库
C1555	22pF (220) ±5% 50V	电容_贴片电容	0402	2	FH 风华	基础库
C24497	100nF (104) ±10% 50V	电容_贴片电容	1206	2	SAMSUNG 三星	基础库
C1848	1uF (105) ±10% 50V	电容_贴片电容	1206	2	SAMSUNG 三星	基础库
C1546	100pF (101) ±5% 50V	电容_贴片电容	0402	2	FH 风华	基础库
C1523	1nF (102) ±10% 50V	电容_贴片电容	0402	2	FH 风华	基础库
C59461	22uF (226) ±20% 6.3V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C38523	12pF (120) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C53987	4.7nF (472) ±10% 50V	电容_贴片电容	0603	2	FH 风华	基础库
C1644	15pF (150) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1671	47pF (470) ±5% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1620	470pF (471) ±10% 50V	电容_贴片电容	0603	2	FH 风华	基础库
C1622	47nF (473) ±10% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
